data,S_R4,LT_R4,Anno,Mese,day_of_week
2018-09-01,815.0,17001.8058,2018,9,Saturday
2018-09-02,614.0,14807.9085,2018,9,Sunday
2018-09-03,732.0,15593.558399999998,2018,9,Monday
2018-09-04,763.0,15651.2545,2018,9,Tuesday
2018-09-05,750.0,15640.640399999998,2018,9,Wednesday
2018-09-06,746.0,15876.2569,2018,9,Thursday
2018-09-07,717.0,15121.5407,2018,9,Friday
2018-09-08,800.0,15604.2551,2018,9,Saturday
2018-09-09,655.0,14031.3859,2018,9,Sunday
2018-09-10,745.0,14733.7337,2018,9,Monday
2018-09-11,756.0,17212.3532,2018,9,Tuesday
2018-09-12,792.0,16266.2528,2018,9,Wednesday
2018-09-13,856.0,18366.8947,2018,9,Thursday
2018-09-14,871.0,20437.5528,2018,9,Friday
2018-09-15,848.0,18828.5048,2018,9,Saturday
2018-09-16,699.0,16965.9574,2018,9,Sunday
2018-09-17,851.0,17960.8744,2018,9,Monday
2018-09-18,767.0,15929.2035,2018,9,Tuesday
2018-09-19,823.0,16966.4943,2018,9,Wednesday
2018-09-20,901.0,18019.8921,2018,9,Thursday
2018-09-21,929.0,19833.5816,2018,9,Friday
2018-09-22,880.0,20440.4851,2018,9,Saturday
2018-09-23,694.0,16095.5599,2018,9,Sunday
2018-09-24,836.0,15353.275,2018,9,Monday
2018-09-25,892.0,15863.4952,2018,9,Tuesday
2018-09-26,856.0,15017.6299,2018,9,Wednesday
2018-09-27,864.0,14563.6603,2018,9,Thursday
2018-09-28,1020.0,19943.6461,2018,9,Friday
2018-09-29,971.0,20033.4736,2018,9,Saturday
2018-09-30,816.0,16074.2491,2018,9,Sunday
2018-10-01,770.0,15101.0972,2018,10,Monday
2018-10-02,834.0,15762.6819,2018,10,Tuesday
2018-10-03,829.0,15857.2589,2018,10,Wednesday
2018-10-04,772.0,15653.7325,2018,10,Thursday
2018-10-05,859.0,18719.6793,2018,10,Friday
2018-10-06,895.0,18592.847,2018,10,Saturday
2018-10-07,629.0,14648.6557,2018,10,Sunday
2018-10-08,775.0,14870.065,2018,10,Monday
2018-10-09,774.0,14447.1117,2018,10,Tuesday
2018-10-10,735.0,14307.7242,2018,10,Wednesday
2018-10-11,782.0,15608.8807,2018,10,Thursday
2018-10-12,953.0,21428.1333,2018,10,Friday
2018-10-13,920.0,19523.3773,2018,10,Saturday
2018-10-14,648.0,15147.0641,2018,10,Sunday
2018-10-15,836.0,16495.6743,2018,10,Monday
2018-10-16,743.0,14600.0043,2018,10,Tuesday
2018-10-17,799.0,15617.3885,2018,10,Wednesday
2018-10-18,756.0,14937.9622,2018,10,Thursday
2018-10-19,810.0,17496.332,2018,10,Friday
2018-10-20,889.0,20556.4555,2018,10,Saturday
2018-10-21,667.0,16452.4332,2018,10,Sunday
2018-10-22,748.0,14237.762,2018,10,Monday
2018-10-23,732.0,13671.1673,2018,10,Tuesday
2018-10-24,779.0,15855.1113,2018,10,Wednesday
2018-10-25,693.0,13894.8068,2018,10,Thursday
2018-10-26,765.0,15988.9646,2018,10,Friday
2018-10-27,751.0,15979.878599999998,2018,10,Saturday
2018-10-28,596.0,13510.6342,2018,10,Sunday
2018-10-29,701.0,12658.2022,2018,10,Monday
2018-10-30,755.0,14640.3131,2018,10,Tuesday
2018-10-31,894.0,19969.7064,2018,10,Wednesday
2018-11-01,620.0,14397.056099999998,2018,11,Thursday
2018-11-02,685.0,15983.5956,2018,11,Friday
2018-11-03,787.0,15556.7601,2018,11,Saturday
2018-11-04,708.0,17089.4857,2018,11,Sunday
2018-11-05,799.0,15051.2894,2018,11,Monday
2018-11-06,690.0,12509.5222,2018,11,Tuesday
2018-11-07,747.0,14304.5441,2018,11,Wednesday
2018-11-08,748.0,14488.3704,2018,11,Thursday
2018-11-09,833.0,17726.083899999998,2018,11,Friday
2018-11-10,891.0,19827.7583,2018,11,Saturday
2018-11-11,628.0,15163.3363,2018,11,Sunday
2018-11-12,719.0,14463.838199999998,2018,11,Monday
2018-11-13,730.0,13870.8528,2018,11,Tuesday
2018-11-14,741.0,14595.833,2018,11,Wednesday
2018-11-15,760.0,15307.1016,2018,11,Thursday
2018-11-16,956.0,21387.3289,2018,11,Friday
2018-11-17,920.0,20309.7706,2018,11,Saturday
2018-11-18,663.0,17615.441199999997,2018,11,Sunday
2018-11-19,866.0,14315.2821,2018,11,Monday
2018-11-20,837.0,15389.619,2018,11,Tuesday
2018-11-21,904.0,17025.3468,2018,11,Wednesday
2018-11-22,902.0,19265.7066,2018,11,Thursday
2018-11-23,980.0,20365.9386,2018,11,Friday
2018-11-24,1057.0,21947.9351,2018,11,Saturday
2018-11-25,741.0,16778.7032,2018,11,Sunday
2018-11-26,765.0,14047.740699999998,2018,11,Monday
2018-11-27,748.0,14097.755,2018,11,Tuesday
2018-11-28,734.0,15098.2062,2018,11,Wednesday
2018-11-29,782.0,15755.826099999998,2018,11,Thursday
2018-11-30,834.0,16904.8334,2018,11,Friday
2018-12-01,1023.0,22051.2264,2018,12,Saturday
2018-12-02,673.0,15379.4179,2018,12,Sunday
2018-12-03,806.0,16595.2899,2018,12,Monday
2018-12-04,787.0,14339.0296,2018,12,Tuesday
2018-12-05,763.0,16819.7554,2018,12,Wednesday
2018-12-06,798.0,14637.959,2018,12,Thursday
2018-12-07,985.0,20986.677600000003,2018,12,Friday
2018-12-08,817.0,19215.5271,2018,12,Saturday
2018-12-09,614.0,16423.2341,2018,12,Sunday
2018-12-10,843.0,16599.4199,2018,12,Monday
2018-12-11,777.0,15784.1992,2018,12,Tuesday
2018-12-12,898.0,17694.448099999998,2018,12,Wednesday
2018-12-13,783.0,15024.3618,2018,12,Thursday
2018-12-14,950.0,20112.4805,2018,12,Friday
2018-12-15,978.0,23278.3733,2018,12,Saturday
2018-12-16,646.0,15849.6184,2018,12,Sunday
2018-12-17,1015.0,23998.7279,2018,12,Monday
2018-12-18,1048.0,24849.1362,2018,12,Tuesday
2018-12-19,760.0,15603.0161,2018,12,Wednesday
2018-12-20,911.0,17629.1528,2018,12,Thursday
2018-12-21,1058.0,26203.1567,2018,12,Friday
2018-12-22,1016.0,24688.2727,2018,12,Saturday
2018-12-23,623.0,17052.1505,2018,12,Sunday
2018-12-24,760.0,17908.134299999998,2018,12,Monday
2018-12-25,827.1822525819265,18341.816105008078,2018,12,Tuesday
2018-12-26,835.8886191332671,18271.922088118532,2018,12,Wednesday
2018-12-27,716.0,16969.5505,2018,12,Thursday
2018-12-28,744.0,18452.2205,2018,12,Friday
2018-12-29,834.0,20615.5971,2018,12,Saturday
2018-12-30,652.0,16853.0845,2018,12,Sunday
2018-12-31,546.0,12151.8229,2018,12,Monday
2019-01-01,734.5026455187508,14659.348438100782,2019,1,Tuesday
2019-01-02,756.0,18367.6381,2019,1,Wednesday
2019-01-03,636.0,12434.4801,2019,1,Thursday
2019-01-04,678.0,15657.1191,2019,1,Friday
2019-01-05,809.0,18566.1672,2019,1,Saturday
2019-01-06,567.0,14639.776199999998,2019,1,Sunday
2019-01-07,678.0,13028.085,2019,1,Monday
2019-01-08,649.0,12337.4251,2019,1,Tuesday
2019-01-09,684.0,13695.4104,2019,1,Wednesday
2019-01-10,742.0,15658.5646,2019,1,Thursday
2019-01-11,759.0,16354.1805,2019,1,Friday
2019-01-12,882.0,19694.731,2019,1,Saturday
2019-01-13,561.0,12930.617,2019,1,Sunday
2019-01-14,801.0,16345.301,2019,1,Monday
2019-01-15,729.0,15529.2956,2019,1,Tuesday
2019-01-16,708.0,14048.8558,2019,1,Wednesday
2019-01-17,743.0,16677.5182,2019,1,Thursday
2019-01-18,821.0,18248.3224,2019,1,Friday
2019-01-19,953.0,22630.7893,2019,1,Saturday
2019-01-20,635.0,17252.9924,2019,1,Sunday
2019-01-21,853.0,17126.820900000002,2019,1,Monday
2019-01-22,751.0,14144.837,2019,1,Tuesday
2019-01-23,722.0,15150.6572,2019,1,Wednesday
2019-01-24,798.0,17293.7555,2019,1,Thursday
2019-01-25,880.0,19836.2661,2019,1,Friday
2019-01-26,932.0,22268.6709,2019,1,Saturday
2019-01-27,616.0,15265.5951,2019,1,Sunday
2019-01-28,752.0,14876.3426,2019,1,Monday
2019-01-29,721.0,15384.043499999998,2019,1,Tuesday
2019-01-30,675.0,14751.947,2019,1,Wednesday
2019-01-31,708.0,14124.5587,2019,1,Thursday
2019-02-01,762.0,15631.5957,2019,2,Friday
2019-02-02,893.0,20344.1735,2019,2,Saturday
2019-02-03,518.0,12003.308099999998,2019,2,Sunday
2019-02-04,767.0,14212.0734,2019,2,Monday
2019-02-05,753.0,14186.0544,2019,2,Tuesday
2019-02-06,717.0,15100.2299,2019,2,Wednesday
2019-02-07,706.0,13628.7935,2019,2,Thursday
2019-02-08,803.0,16835.7385,2019,2,Friday
2019-02-09,849.0,19925.3915,2019,2,Saturday
2019-02-10,543.0,12926.1979,2019,2,Sunday
2019-02-11,813.0,16004.1217,2019,2,Monday
2019-02-12,794.0,15821.3692,2019,2,Tuesday
2019-02-13,805.0,15589.3045,2019,2,Wednesday
2019-02-14,864.0,19529.5723,2019,2,Thursday
2019-02-15,856.0,19003.6994,2019,2,Friday
2019-02-16,906.0,20596.4752,2019,2,Saturday
2019-02-17,634.0,15948.9862,2019,2,Sunday
2019-02-18,779.0,15748.8877,2019,2,Monday
2019-02-19,750.0,15250.1489,2019,2,Tuesday
2019-02-20,802.0,16856.0168,2019,2,Wednesday
2019-02-21,743.0,16493.0724,2019,2,Thursday
2019-02-22,832.0,17716.8327,2019,2,Friday
2019-02-23,973.0,23455.3025,2019,2,Saturday
2019-02-24,648.0,16510.7901,2019,2,Sunday
2019-02-25,831.0,16579.678499999998,2019,2,Monday
2019-02-26,831.0,14927.9263,2019,2,Tuesday
2019-02-27,929.0,17828.3427,2019,2,Wednesday
2019-02-28,845.0,14796.0967,2019,2,Thursday
2019-03-01,1015.0,20410.2535,2019,3,Friday
2019-03-02,1097.0,21944.755,2019,3,Saturday
2019-03-03,706.0,16150.777999999998,2019,3,Sunday
2019-03-04,823.0,15250.4793,2019,3,Monday
2019-03-05,743.0,15169.2009,2019,3,Tuesday
2019-03-06,740.0,14451.613399999998,2019,3,Wednesday
2019-03-07,715.0,13775.5324,2019,3,Thursday
2019-03-08,772.0,16394.6545,2019,3,Friday
2019-03-09,824.0,16470.2748,2019,3,Saturday
2019-03-10,669.0,15138.7215,2019,3,Sunday
2019-03-11,844.0,17491.169499999996,2019,3,Monday
2019-03-12,732.0,15006.8506,2019,3,Tuesday
2019-03-13,779.0,16983.7577,2019,3,Wednesday
2019-03-14,749.0,14808.8171,2019,3,Thursday
2019-03-15,986.0,21778.9768,2019,3,Friday
2019-03-16,914.0,20373.6204,2019,3,Saturday
2019-03-17,610.0,14440.9993,2019,3,Sunday
2019-03-18,763.0,15165.8969,2019,3,Monday
2019-03-19,800.0,17284.0913,2019,3,Tuesday
2019-03-20,796.0,16768.2543,2019,3,Wednesday
2019-03-21,773.0,15342.3718,2019,3,Thursday
2019-03-22,866.0,18096.7927,2019,3,Friday
2019-03-23,927.0,20915.7242,2019,3,Saturday
2019-03-24,678.0,16512.6899,2019,3,Sunday
2019-03-25,770.0,15795.5567,2019,3,Monday
2019-03-26,751.0,14579.1478,2019,3,Tuesday
2019-03-27,743.0,16491.503,2019,3,Wednesday
2019-03-28,840.0,18375.196,2019,3,Thursday
2019-03-29,857.0,19281.1115,2019,3,Friday
2019-03-30,907.0,19996.5927,2019,3,Saturday
2019-03-31,719.0,17045.7903,2019,3,Sunday
2019-04-01,829.0,15876.7938,2019,4,Monday
2019-04-02,778.0,15403.248,2019,4,Tuesday
2019-04-03,740.0,15061.4492,2019,4,Wednesday
2019-04-04,742.0,14927.1003,2019,4,Thursday
2019-04-05,859.0,18460.0675,2019,4,Friday
2019-04-06,959.0,19667.3491,2019,4,Saturday
2019-04-07,663.0,17120.1303,2019,4,Sunday
2019-04-08,788.0,14828.4346,2019,4,Monday
2019-04-09,811.0,15326.8017,2019,4,Tuesday
2019-04-10,785.0,15702.0948,2019,4,Wednesday
2019-04-11,801.0,16374.747899999998,2019,4,Thursday
2019-04-12,893.0,18127.1069,2019,4,Friday
2019-04-13,961.0,20535.0208,2019,4,Saturday
2019-04-14,617.0,15859.6956,2019,4,Sunday
2019-04-15,849.0,17106.0057,2019,4,Monday
2019-04-16,803.0,15886.0037,2019,4,Tuesday
2019-04-17,1024.0,21955.2865,2019,4,Wednesday
2019-04-18,944.0,19048.386,2019,4,Thursday
2019-04-19,842.0,17784.358200000002,2019,4,Friday
2019-04-20,1001.0,22595.643,2019,4,Saturday
2019-04-21,651.441345784483,16130.742891659487,2019,4,Sunday
2019-04-22,806.5065038488362,15674.800534373808,2019,4,Monday
2019-04-23,726.0,16337.4953,2019,4,Tuesday
2019-04-24,727.0,15631.4718,2019,4,Wednesday
2019-04-25,621.0,14226.5697,2019,4,Thursday
2019-04-26,780.0,15557.5035,2019,4,Friday
2019-04-27,845.0,19657.974,2019,4,Saturday
2019-04-28,661.0,15398.0855,2019,4,Sunday
2019-04-29,725.0,14213.9319,2019,4,Monday
2019-04-30,882.0,17561.6273,2019,4,Tuesday
2019-05-01,700.0,14974.967,2019,5,Wednesday
2019-05-02,734.0,14532.8505,2019,5,Thursday
2019-05-03,824.0,16510.5423,2019,5,Friday
2019-05-04,911.0,18108.398,2019,5,Saturday
2019-05-05,614.0,15312.2641,2019,5,Sunday
2019-05-06,690.0,13563.7047,2019,5,Monday
2019-05-07,673.0,12742.702,2019,5,Tuesday
2019-05-08,642.0,13611.1171,2019,5,Wednesday
2019-05-09,717.0,14797.9965,2019,5,Thursday
2019-05-10,745.0,16191.8302,2019,5,Friday
2019-05-11,927.0,22480.829,2019,5,Saturday
2019-05-12,778.0,20471.2949,2019,5,Sunday
2019-05-13,708.0,14859.1618,2019,5,Monday
2019-05-14,663.0,13519.142,2019,5,Tuesday
2019-05-15,701.0,15702.3426,2019,5,Wednesday
2019-05-16,848.0,16743.3504,2019,5,Thursday
2019-05-17,753.0,16167.4219,2019,5,Friday
2019-05-18,842.0,20633.1496,2019,5,Saturday
2019-05-19,608.0,16086.8043,2019,5,Sunday
2019-05-20,720.0,15853.8723,2019,5,Monday
2019-05-21,776.0,15368.5973,2019,5,Tuesday
2019-05-22,630.0,13893.6917,2019,5,Wednesday
2019-05-23,799.0,15847.9251,2019,5,Thursday
2019-05-24,779.0,16624.2412,2019,5,Friday
2019-05-25,847.0,18930.9288,2019,5,Saturday
2019-05-26,611.0,15602.8096,2019,5,Sunday
2019-05-27,767.0,15712.6676,2019,5,Monday
2019-05-28,694.0,14428.3202,2019,5,Tuesday
2019-05-29,743.0,13764.877,2019,5,Wednesday
2019-05-30,814.0,15451.8994,2019,5,Thursday
2019-05-31,869.0,17833.0096,2019,5,Friday
2019-06-01,993.0,18938.2389,2019,6,Saturday
2019-06-02,669.0,15148.3444,2019,6,Sunday
2019-06-03,818.0,15741.453699999998,2019,6,Monday
2019-06-04,845.0,16066.5673,2019,6,Tuesday
2019-06-05,764.0,15678.8429,2019,6,Wednesday
2019-06-06,779.0,14576.1329,2019,6,Thursday
2019-06-07,1053.0,25515.6356,2019,6,Friday
2019-06-08,809.0,17524.870300000002,2019,6,Saturday
2019-06-09,676.0,15917.2678,2019,6,Sunday
2019-06-10,704.0,14618.5893,2019,6,Monday
2019-06-11,777.0,15802.3712,2019,6,Tuesday
2019-06-12,790.0,16571.5424,2019,6,Wednesday
2019-06-13,733.0,14781.7656,2019,6,Thursday
2019-06-14,706.0,15596.6146,2019,6,Friday
2019-06-15,810.0,18530.2362,2019,6,Saturday
2019-06-16,716.0,15959.4351,2019,6,Sunday
2019-06-17,791.0,17597.186599999997,2019,6,Monday
2019-06-18,765.0,14844.2938,2019,6,Tuesday
2019-06-19,797.0,16985.740100000003,2019,6,Wednesday
2019-06-20,817.0,17336.2119,2019,6,Thursday
2019-06-21,818.0,17631.1352,2019,6,Friday
2019-06-22,789.0,19064.2039,2019,6,Saturday
2019-06-23,692.0,16189.7652,2019,6,Sunday
2019-06-24,781.0,15586.7439,2019,6,Monday
2019-06-25,749.0,13990.788,2019,6,Tuesday
2019-06-26,754.0,14609.585899999998,2019,6,Wednesday
2019-06-27,835.0,17630.722199999997,2019,6,Thursday
2019-06-28,817.0,16942.3751,2019,6,Friday
2019-06-29,861.0,18285.0794,2019,6,Saturday
2019-06-30,778.0,18247.4964,2019,6,Sunday
2019-07-01,780.0,16009.490699999998,2019,7,Monday
2019-07-02,639.0,12983.8527,2019,7,Tuesday
2019-07-03,709.0,14861.5572,2019,7,Wednesday
2019-07-04,681.0,15092.9611,2019,7,Thursday
2019-07-05,848.0,18451.4771,2019,7,Friday
2019-07-06,928.0,19342.855,2019,7,Saturday
2019-07-07,690.0,16644.2717,2019,7,Sunday
2019-07-08,756.0,15641.8381,2019,7,Monday
2019-07-09,658.0,13695.0387,2019,7,Tuesday
2019-07-10,806.0,15875.5135,2019,7,Wednesday
2019-07-11,738.0,16171.0976,2019,7,Thursday
2019-07-12,752.0,15904.2583,2019,7,Friday
2019-07-13,888.0,19349.9173,2019,7,Saturday
2019-07-14,650.0,17071.3137,2019,7,Sunday
2019-07-15,725.0,16119.4313,2019,7,Monday
2019-07-16,749.0,15789.8986,2019,7,Tuesday
2019-07-17,733.0,14060.1307,2019,7,Wednesday
2019-07-18,771.0,17268.851599999998,2019,7,Thursday
2019-07-19,782.0,18226.8051,2019,7,Friday
2019-07-20,929.0,20215.0284,2019,7,Saturday
2019-07-21,736.0,15456.5663,2019,7,Sunday
2019-07-22,745.0,15982.1088,2019,7,Monday
2019-07-23,732.0,14506.9141,2019,7,Tuesday
2019-07-24,696.0,14667.6537,2019,7,Wednesday
2019-07-25,740.0,15177.8739,2019,7,Thursday
2019-07-26,831.0,15792.9135,2019,7,Friday
2019-07-27,814.0,18746.0287,2019,7,Saturday
2019-07-28,640.0,15778.5824,2019,7,Sunday
2019-07-29,750.0,15187.662,2019,7,Monday
2019-07-30,726.0,15387.967,2019,7,Tuesday
2019-07-31,659.0,13691.6108,2019,7,Wednesday
2019-08-01,659.0,14946.3048,2019,8,Thursday
2019-08-02,682.0,15754.9588,2019,8,Friday
2019-08-03,823.0,17903.5913,2019,8,Saturday
2019-08-04,684.0,15904.7126,2019,8,Sunday
2019-08-05,649.0,13696.1125,2019,8,Monday
2019-08-06,636.0,13828.066,2019,8,Tuesday
2019-08-07,697.0,15022.2555,2019,8,Wednesday
2019-08-08,606.0,13663.279,2019,8,Thursday
2019-08-09,743.0,15982.893499999998,2019,8,Friday
2019-08-10,820.0,19029.0163,2019,8,Saturday
2019-08-11,656.0,15648.8178,2019,8,Sunday
2019-08-12,693.0,15740.1321,2019,8,Monday
2019-08-13,689.0,14453.926199999998,2019,8,Tuesday
2019-08-14,738.0,16202.4856,2019,8,Wednesday
2019-08-15,695.2994820011617,15236.467808022011,2019,8,Thursday
2019-08-16,793.0,18100.0967,2019,8,Friday
2019-08-17,824.0,19718.1068,2019,8,Saturday
2019-08-18,618.0,14480.3582,2019,8,Sunday
2019-08-19,766.0,15561.3444,2019,8,Monday
2019-08-20,706.0,15099.4452,2019,8,Tuesday
2019-08-21,718.0,14881.3399,2019,8,Wednesday
2019-08-22,681.0,14365.3377,2019,8,Thursday
2019-08-23,669.0,15193.1549,2019,8,Friday
2019-08-24,797.0,16970.2526,2019,8,Saturday
2019-08-25,744.0,18359.3781,2019,8,Sunday
2019-08-26,716.0,14975.2148,2019,8,Monday
2019-08-27,642.0,14104.3217,2019,8,Tuesday
2019-08-28,718.0,17218.6308,2019,8,Wednesday
2019-08-29,709.0,16265.4268,2019,8,Thursday
2019-08-30,747.0,16493.0724,2019,8,Friday
2019-08-31,841.0,18529.5341,2019,8,Saturday
2019-09-01,671.0,16931.884899999997,2019,9,Sunday
2019-09-02,822.0,19426.7353,2019,9,Monday
2019-09-03,803.0,18971.1137,2019,9,Tuesday
2019-09-04,771.0,16605.9866,2019,9,Wednesday
2019-09-05,847.0,18465.5191,2019,9,Thursday
2019-09-06,712.0,16684.6218,2019,9,Friday
2019-09-07,911.0,19783.2369,2019,9,Saturday
2019-09-08,631.0,16192.6149,2019,9,Sunday
2019-09-09,733.0,16358.2692,2019,9,Monday
2019-09-10,738.0,17721.953899999997,2019,9,Tuesday
2019-09-11,832.0,18925.1468,2019,9,Wednesday
2019-09-12,820.0,19781.2132,2019,9,Thursday
2019-09-13,899.0,22093.1872,2019,9,Friday
2019-09-14,959.0,23805.6917,2019,9,Saturday
2019-09-15,740.0,18516.9376,2019,9,Sunday
2019-09-16,979.0,23678.8594,2019,9,Monday
